Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var2
0.219348052385261,0.46455744159225,-0.54435861487943,0.256161066577245,0.317191690875596,0.380987345712731,-0.401049371558172,0.113996407822249,0.142460346937001,d
0.0533921249220924,0.249076990419048,-0.790000646913728,0.225684476440758,0.136023024167491,0.157762656041241,-0.648538220995896,0.0652650919242769,0.0249324356759638,b
0.215264760504816,0.520132327673566,-0.533723749326749,0.179105324598781,0.320420678131228,0.36008346666098,-0.366511011140845,0.0986864690587042,0.0803722804537593,d
0.0310082611314038,0.215061637824589,-0.559030909302426,0.0493265215504317,0.0906871567391558,0.123751059320215,-0.524543423288981,0.0191529387494744,0.00505165947080085,d
0.168269838117686,0.46017988632724,-0.491529118225068,0.309738170587726,0.520237524817595,0.220385903435818,-0.375798144673246,0.299205666478545,0.0648645995927294,d
0.159716099386505,0.402600499462831,-0.58515830730152,0.135413426257003,0.237164096141639,0.365285145087743,-0.404414501947221,0.0679606921105264,0.105527974482908,d
0.427418469460421,0.717529174024784,-0.5687237528075,0.269602992534197,0.39011201077126,0.566393402551973,-0.382201298596423,0.174611194046037,0.186914011218432,d
0.0133612775366874,0.130447832530655,-0.617568973322794,0.249377696965319,0.0654878407877749,0.0876716779932248,-0.600295918402156,0.015221960330103,0.0048587711310086,b
0.173038965838118,0.420842094464624,-0.729077960120116,0.26309977952895,0.160857878256861,0.295654034432444,-0.503801064152798,0.0517430664370767,0.103930810721525,b
0.209945580172937,0.542961552748822,-0.549464281402532,0.192812472906632,0.453415945064472,0.355915914774479,-0.355680098331794,0.185326234591265,0.0485423176300111,d
0.123553441956787,0.406674590869271,-0.533114612369688,0.0922130038916869,0.373160585721993,0.236319089609327,-0.384417373173798,0.158192466923532,0.0379336326109479,d
0.105036210294046,0.348160067635007,-0.761372717184969,0.260940116640124,0.105150880883546,0.254053256402413,-0.511852239515064,0.0234862980744402,0.049752549773141,b
0.0261162937272884,0.196015411247548,-0.593654610377167,0.0815172812924763,0.130363642749888,0.114481394104084,-0.472971318364737,0.0302814588128122,0.00494177508552139,c
0.255294382946179,0.484239232233276,-0.591131417936064,0.0619244641134013,0.19982277139473,0.451916424881605,-0.468480282766888,0.0686399068021284,0.179971577637066,d
0.0367964674085121,0.206749625567568,-0.662798787164895,0.239477928881147,0.0652448995781219,0.14910853165865,-0.542495652822949,0.0128421714254148,0.0170654483690082,b
0.0259857259193815,0.162430445535563,-0.655968543850134,0.202833892482713,0.0477460146833808,0.1236447456259,-0.578250630780817,0.00899508219842688,0.0160512284660149,c
